_mb_row_id,Year,Company,Industry,Total Product Impact 
109,"2,015",American Water,Water Utilities,"-2,355,586,202"
110,"2,016",American Water,Water Utilities,"-2,702,236,232"
111,"2,017",American Water,Water Utilities,"-2,644,780,432"
112,"2,018",American Water,Water Utilities,"-2,569,580,353"
113,"2,015",Sabesp,Water Utilities,"912,592,384"
114,"2,016",Sabesp,Water Utilities,"612,925,459"
115,"2,017",Sabesp,Water Utilities,"995,698,946"
116,"2,018",Sabesp,Water Utilities,"668,087,308"
117,"2,015",Severn Trent,Water Utilities,"204,419,246"
118,"2,016",Severn Trent,Water Utilities,"240,345,375"
119,"2,017",Severn Trent,Water Utilities,"200,870,461"
120,"2,018",Severn Trent,Water Utilities,"248,390,112"
121,"2,015",United Utilities,Water Utilities,"-1,911,776,499"
122,"2,016",United Utilities,Water Utilities,"82,182,491"
123,"2,017",United Utilities,Water Utilities,"60,762,673"
124,"2,018",United Utilities,Water Utilities,"64,262,673"
